Recency,Frequency,Monetary
91,5,602.49
26,4,783.56
30,4,838.99
18,6,768.58
11,8,161.17
12,3,1826.36
34,6,661.57
42,8,975.19
48,5,1123.28
47,3,662.84
3,6,314.23
21,6,844.73
2,4,259.34
24,9,551.3
18,3,1773.41
66,5,395.78
13,5,493.39
4,7,570.31
5,5,1140.38
44,2,1043.22
29,3,582.48
4,7,1854.37
3,6,949.01
37,9,655.23
3,5,1011.52
52,5,772.02
37,5,861.78
3,4,153.89
3,4,450.92
130,8,1374.69
15,4,463.69
14,4,316.23
51,7,754.43
89,4,443.55
129,4,900.26
42,3,253.38
15,6,1071.59
3,6,1011.01
46,7,847.62
25,4,1641.75
17,7,290.98
72,3,585.21
4,5,699.98
21,10,440.19
1,5,319.25
19,5,1020.52
2,2,236.98
4,1,200.34
4,5,1335.66
32,3,958.74
42,5,825.59
27,3,1616.34
99,4,2357.23
15,5,1578.42
11,5,461.41
61,5,1929.62
8,5,517.67
100,5,400.47
1,7,620.76
106,6,1147.58
2,5,530.57
67,7,500.87
23,3,1817.48
149,7,1149.31
3,5,970.14
25,3,1063.32
105,11,479.87
23,5,367.22
30,6,404.26
36,7,2077.36
19,6,1050.71
30,3,604.83
27,2,1054.09
70,5,988.94
2,5,737.76
10,8,785.33
91,3,350.98
67,2,914.51
19,7,950.02
30,4,630.38
10,2,930.69
7,4,583.4
19,5,546.73
14,2,962.76
27,4,793.35
3,6,344.77
110,2,255.88
129,3,1161.52
36,6,485.87
24,8,587.9
12,7,980.92
51,2,652.73
35,3,1345.48
6,3,619.89
73,3,1120.97
52,9,1526.14
90,8,101.57
39,3,159.52
29,3,515.25
17,5,321.18
81,8,863.17
61,9,541.72
2,4,145.06
1,5,743.75
15,3,1708.15
50,4,231.44
131,4,621.16
5,8,155.43
28,3,2441.99
15,7,784.85
106,3,490.51
56,3,777.07
55,4,371.01
19,8,436.67
17,4,814.61
10,3,445.9
2,7,449.96
61,1,757.67
51,3,200.31
246,4,1227.16
171,4,2063.29
25,2,344.11
44,5,755.33
87,6,1242.38
57,4,631.94
9,2,1035.5
18,5,172.98
5,6,118.25
93,6,882.15
28,1,441.43
8,8,723.96
34,5,791.08
29,2,1087.75
14,9,284.45
4,4,1821.79
34,2,810.89
23,3,779.52
45,8,613.26
23,5,555.68
58,5,1432.23
25,4,2403.07
25,3,1337.81
63,6,938.09
16,3,768.96
5,5,2803.68
1,7,1558.78
43,4,1874.59
30,6,1058.52
37,4,2592.2
8,5,617.72
5,3,926.24
1,9,1362.13
13,5,493.4
27,6,1193.53
15,4,355.44
18,5,490.43
71,7,607.21
13,4,1664.75
22,6,190.82
46,7,822.25
16,5,1265.4
30,4,662.18
60,6,3139.8
90,3,1462.07
5,8,830.79
79,5,2049.04
21,4,1010.15
9,3,575.22
19,3,207.28
118,3,780.09
21,1,962.72
12,6,1440.23
31,5,1578.14
9,2,1056.08
3,4,722.38
5,10,376.81
5,4,1980.57
5,6,140.11
5,8,1831.03
31,7,1164.19
7,5,1531.62
13,5,875.94
69,7,733.99
20,4,719.29
34,3,993.21
6,5,976.81
7,1,1155.99
2,6,652.93
6,4,264.1
10,6,828.72
6,5,457.18
3,2,490.22
4,10,954.69
19,5,710.64
7,3,575.99
14,7,395.11
22,6,272.79
36,7,480.12
2,7,1259.81
49,6,463.35
30,3,1511.87
3,3,1652.82
63,5,132.01
77,5,1726.08
2,9,1390.66
10,4,578.65
50,3,1354.66
42,1,955.97
7,6,929.67
8,4,1367.14
14,4,221.16
20,2,683.03
29,4,799.81
14,5,1056.69
19,4,1269.61
42,1,649.75
2,2,1149.65
9,6,714.44
38,4,556.64
68,2,978.62
22,9,2218.48
23,9,751.63
4,2,388.14
18,6,2573.88
23,3,3001.92
9,8,389.03
10,2,765.66
15,4,488.75
1,8,804.69
12,7,691.69
8,3,985.48
12,4,745.86
4,5,651.62
67,4,948.97
28,5,364.69
35,3,2867.43
47,5,2409.01
21,4,677.64
3,7,1056.14
24,8,1136.56
27,4,1188.53
42,5,973.86
17,3,401.34
5,3,1024.99
11,5,1326.41
14,2,929.7
32,5,1182.69
26,4,836.71
14,12,2200.07
130,4,495.75
28,5,967.15
9,11,1650.16
4,6,946.52
5,4,2253.51
9,4,239.19
6,4,1071.89
7,4,530.7
11,4,446.38
6,2,375.8
69,5,2109.53
3,7,905.22
23,4,2404.6
16,5,352.03
122,4,774.2
4,5,425.05
16,5,2199.2
105,7,1174.02
61,4,785.86
51,7,1671.76
9,4,1043.95
6,1,106.03
34,7,302.17
80,5,1071.21
25,8,319.86
26,5,590.66
10,8,364.81
45,2,1480.32
7,3,400.01
12,2,830.76
17,5,1053.24
22,8,635.93
9,3,852.04
4,3,721.22
29,10,2027.99
11,5,1057.15
27,4,171.1
6,10,1831.11
20,3,234.57
23,4,1725.22
2,4,1086.22
13,3,543.24
5,3,450.62
2,7,273.83
139,2,243.38
12,11,1436.71
50,5,690.57
9,5,772.67
35,5,434.17
43,2,378.14
28,7,733.36
20,4,299.97
16,3,458.37
13,3,583.77
80,3,470.23
54,7,1331.61
101,11,114.53
4,4,1577.92
40,5,2060.37
84,4,384.01
6,5,640.59
3,3,712.04
41,10,910.62
26,7,2544.14
56,4,2456.28
5,5,295.85
48,3,525.82
7,4,2565.35
6,6,413.68
6,3,196.46
51,5,585.42
33,3,1507.05
23,6,590.88
14,4,334.25
63,5,625.79
15,6,1870.88
51,2,1040.06
18,4,385.63
15,4,747.45
19,3,220.05
11,6,384.0
42,3,296.04
21,7,604.38
8,3,887.62
69,4,643.59
15,7,178.53
24,7,1602.16
72,3,335.01
30,4,265.03
4,4,586.82
85,7,1054.34
30,1,1028.72
13,2,714.76
5,8,776.91
48,7,873.54
30,3,295.14
23,8,1063.4
68,3,447.47
47,8,975.03
5,5,219.16
12,3,221.06
9,7,323.23
41,4,497.6
2,5,339.08
26,2,1440.29
44,4,1392.44
63,5,760.85
13,4,1812.0
52,3,682.56
4,6,319.39
57,2,585.54
5,3,441.12
16,2,1950.08
48,7,953.72
5,2,1611.6
8,3,318.95
39,7,558.11
39,4,334.1
31,3,1961.0
36,4,542.1
24,3,124.52
9,9,2035.89
13,14,641.94
7,4,258.54
72,7,793.56
27,1,681.41
16,5,1516.16
19,4,2335.72
89,2,1551.33
5,4,367.72
27,4,492.63
22,7,362.9
29,7,1729.32
1,4,978.38
62,5,935.95
81,8,272.96
25,4,836.71
36,7,1271.45
77,5,536.05
37,6,176.55
5,3,237.79
26,7,1964.56
28,7,1848.17
17,3,2175.99
41,3,1498.98
82,3,454.75
78,5,1606.06
18,6,502.25
4,4,648.79
126,2,1114.37
55,7,617.65
4,3,460.28
77,8,678.37
62,6,1495.57
22,4,497.91
27,4,460.56
16,5,494.45
2,5,233.13
13,4,280.39
49,6,348.36
1,4,544.25
13,7,979.6
16,6,179.49
24,5,1103.83
76,3,1957.47
13,6,374.47
13,6,933.39
41,7,298.97
19,4,696.54
8,9,765.99
19,7,1251.48
5,6,3000.9
6,5,609.37
21,5,681.1
17,10,714.02
74,6,804.73
14,9,855.32
27,4,586.75
31,6,2328.28
1,3,705.38
33,6,416.96
6,4,666.65
98,6,740.32
5,5,737.54
17,5,775.95
3,7,1491.85
174,3,2251.34
21,4,1008.37
28,6,1590.17
3,8,775.91
42,4,781.73
8,2,461.1
69,4,1447.79
7,6,2422.32
7,5,1887.77
2,6,1114.52
20,3,906.48
25,3,907.05
3,6,1661.09
45,5,629.21
19,4,309.15
23,11,701.15
18,6,344.53
16,5,735.54
25,5,356.99
6,7,1180.46
7,5,539.8
60,2,528.01
88,3,1030.17
15,4,381.05
10,8,395.64
31,5,701.82
16,4,1338.48
1,10,171.68
6,6,1259.1
38,4,608.29
33,4,857.1
1,4,1004.84
8,6,273.73
8,4,1161.69
34,6,2302.42
1,6,622.49
4,3,902.96
49,3,942.37
6,3,236.84
32,2,1491.58
9,5,226.14
4,2,1012.5
9,5,711.31
39,9,1104.28
59,4,257.95
54,4,511.05
16,4,161.51
34,6,485.5
7,4,477.47
11,5,615.11
68,9,1433.19
1,6,1175.52
3,6,114.86
7,2,523.31
1,6,269.51
7,8,163.83
27,8,679.58
17,3,406.52
67,4,1314.28
52,3,1178.55
13,4,750.06
10,8,902.37
15,4,1863.12
27,5,778.37
10,5,867.68
30,8,725.95
16,2,788.15
25,5,286.31
18,5,1008.46
11,6,544.08
89,2,1452.62
44,2,314.28
5,3,561.16
61,2,327.7
21,5,246.6
68,3,883.1
49,2,1231.93
17,4,990.2
1,3,587.84
10,3,504.63
24,5,178.49
31,6,280.42
9,2,799.95
5,2,233.4
55,5,583.39
125,6,2324.39
23,5,729.18
6,3,498.71
10,4,1292.5
1,8,2019.06
74,3,1906.25
4,7,767.62
26,10,1371.26
10,5,751.71
25,5,406.25
32,3,164.86
54,4,413.17
7,5,457.89
1,4,506.89
5,3,322.57
70,2,563.77
63,5,420.82
28,4,1427.32
28,5,562.11
33,5,983.18
6,5,418.75
74,5,994.02
17,5,854.92
15,6,650.82
22,2,379.69
2,7,224.29
6,3,530.97
41,3,955.7
3,6,1525.82
28,5,511.72
9,7,216.6
15,8,1028.29
11,4,648.85
14,1,467.46
39,6,959.76
11,11,650.89
26,10,730.22
20,6,1580.5
33,6,486.79
83,4,625.48
40,3,1744.53
8,6,1147.2
1,5,1263.07
10,5,1333.66
28,4,431.9
2,3,719.03
21,4,352.47
28,7,1320.2
13,9,630.53
45,3,885.22
4,3,1064.82
3,3,123.47
40,5,815.25
21,4,1802.8
35,5,1434.87
18,6,1052.73
9,7,916.79
52,6,561.37
49,6,496.64
36,6,906.63
10,5,375.5
27,4,301.91
14,5,2098.29
3,8,1382.8
75,4,910.97
5,6,590.6
91,5,469.56
18,5,690.46
7,3,898.1
24,5,657.29
62,7,268.9
40,4,691.2
50,5,169.94
33,8,1266.66
36,5,1011.67
57,5,1310.32
9,5,307.25
21,7,918.31
8,6,504.47
132,3,1039.54
87,2,993.28
2,6,1587.8
37,4,992.17
78,4,530.12
6,7,623.16
26,4,2343.91
75,3,1433.38
2,4,1384.98
36,3,628.32
11,8,1713.83
78,4,1837.06
107,6,95.14
87,6,668.29
20,5,335.6
60,4,243.06
56,3,640.96
12,4,860.98
53,4,820.68
2,6,1499.42
28,8,2290.93
8,8,1250.56
4,8,2737.77
3,6,1067.89
36,5,1343.88
13,7,777.37
39,3,387.88
3,5,2351.64
12,5,280.96
24,4,1016.02
47,3,382.79
12,4,956.21
30,8,1802.16
66,2,168.97
29,1,571.9
8,6,636.37
1,5,1521.1
62,7,842.37
1,3,575.64
63,4,1360.41
23,5,801.69
84,2,417.23
49,2,255.31
186,5,411.82
13,4,295.74
44,6,818.26
16,5,1037.06
20,8,907.05
30,4,155.1
63,2,2281.74
125,7,1247.25
44,2,700.09
17,3,792.09
17,2,1819.51
41,5,637.04
9,3,464.67
4,6,757.19
14,4,909.53
11,5,875.1
11,7,831.87
8,4,530.73
2,3,1047.01
1,4,779.37
132,5,581.61
17,4,2148.25
15,5,291.28
35,5,306.11
8,4,1196.74
90,3,345.39
47,6,1025.54
3,7,1767.88
17,6,1901.08
64,5,584.38
87,3,590.17
19,5,733.66
29,6,136.12
6,2,185.46
142,6,249.17
8,2,540.07
86,2,575.12
32,4,524.15
29,5,571.49
22,7,1637.93
8,2,1312.75
6,4,689.71
8,4,537.1
7,6,640.37
46,9,1213.71
13,2,352.21
2,5,1575.15
105,2,2586.49
65,3,2102.58
79,2,581.82
159,4,408.85
6,4,119.89
16,7,644.31
43,3,167.1
36,5,578.69
6,6,437.34
51,6,2353.96
8,8,429.92
8,8,1200.03
24,8,1247.74
27,5,429.59
27,1,155.48
3,2,1239.08
63,4,539.4
10,3,1707.71
5,5,1058.38
66,8,621.26
94,8,793.57
60,8,537.25
50,3,338.57
32,6,1066.54
25,10,1461.44
3,2,1006.18
16,2,1292.67
14,2,578.4
10,3,365.91
39,2,355.06
21,7,897.09
3,3,559.31
8,7,2148.75
35,10,567.18
3,5,4475.07
58,2,1134.43
21,5,122.2
20,3,87.66
27,8,496.03
53,6,1768.47
13,8,822.86
34,6,417.75
26,6,1204.07
10,8,2112.8
64,4,1342.85
48,4,1039.01
33,7,241.34
58,4,498.21
61,7,1061.14
37,5,1149.12
55,7,556.46
36,6,443.41
35,8,176.44
29,6,748.54
42,5,1227.45
6,8,1194.78
64,4,143.18
62,3,1193.23
1,5,1981.51
53,7,694.59
5,6,1326.54
13,3,689.0
41,2,289.75
6,4,484.34
52,9,1084.6
54,8,1249.78
22,4,348.05
1,5,2060.94
11,4,2153.6
29,1,344.13
120,5,1561.07
30,6,1058.52
10,6,570.71
31,4,253.87
24,3,2167.8
46,5,718.64
4,8,177.97
43,1,1901.72
24,9,987.73
99,4,410.25
13,7,784.93
31,3,1344.93
81,2,544.13
4,5,508.33
84,6,437.02
35,1,395.68
3,5,868.86
11,5,128.46
37,3,564.69
3,5,1052.76
27,4,198.52
13,3,1301.21
30,4,1586.85
2,5,1367.49
62,8,1824.33
109,6,780.7
105,8,409.33
42,5,1836.61
5,5,596.59
43,7,480.84
1,5,632.47
1,7,308.45
12,3,464.19
21,6,758.09
45,4,1902.96
35,3,693.88
18,4,1225.35
10,5,384.91
176,2,1775.15
17,6,2866.11
19,7,1934.27
6,2,1346.59
48,3,285.73
36,3,583.53
8,6,147.45
3,5,547.37
35,5,949.16
32,6,1318.8
10,7,664.76
91,6,1171.63
5,5,951.51
17,3,439.55
87,7,394.74
17,3,1338.97
31,5,1032.0
16,5,682.35
10,10,205.38
125,4,1523.92
16,5,386.58
68,7,1088.29
8,2,563.77
8,7,733.52
1,6,1074.33
32,7,122.27
14,5,430.71
60,4,1003.47
20,5,449.43
104,7,2110.31
7,4,1254.83
61,4,597.28
45,7,1166.76
45,5,936.16
56,2,1322.09
43,6,506.42
30,2,113.98
5,5,245.68
1,6,723.27
77,7,982.59
29,2,659.28
48,5,501.24
20,5,1609.92
4,6,448.38
5,4,264.4
35,3,545.39
17,6,839.9
7,8,1666.69
21,4,2492.54
2,6,695.17
27,4,615.83
10,2,1620.74
48,12,548.98
12,5,280.9
19,7,1605.12
1,4,1617.61
3,5,390.75
15,9,812.88
20,6,571.63
28,3,1447.52
11,8,254.6
36,5,829.72
60,2,938.94
46,11,507.12
2,6,2016.52
20,3,518.88
4,4,381.15
9,3,1367.53
130,3,590.99
5,3,187.48
21,6,771.0
29,6,622.92
37,8,1199.51
25,6,124.11
1,5,985.56
12,6,1294.66
22,4,278.02
3,5,1155.29
13,5,856.81
2,7,537.35
3,3,728.41
16,5,322.66
5,5,615.67
26,5,695.23
36,6,616.68
49,3,1460.27
7,7,858.5
6,4,1432.55
4,4,613.44
31,2,1060.48
37,4,836.29
1,4,846.73
83,4,1496.88
2,6,355.58
24,6,885.52
38,10,769.17
62,7,1342.17
38,4,1030.8
49,7,988.96
13,5,813.74
51,4,1423.89
3,5,1652.06
68,11,606.07
24,4,799.99
51,5,2145.74
19,4,301.23
31,8,692.51
23,5,232.73
40,6,933.87
3,5,444.53
2,4,447.22
9,2,243.55
6,5,760.65
62,2,1077.85
8,4,308.99
112,9,252.92
13,4,1019.49
7,7,148.01
47,6,1130.8
33,8,1215.2
21,4,553.88
25,4,489.75
39,10,581.94
8,4,363.7
169,6,476.7
111,6,882.22
32,11,1002.82
7,6,454.17
35,9,419.81
3,11,604.98
1,3,375.85
9,2,851.44
19,8,588.67
61,3,369.75
39,3,322.37
41,4,691.98
17,4,880.01
13,5,1058.22
14,3,1736.67
132,7,432.35
2,4,594.37
61,5,1560.08
26,7,311.34
18,4,409.92
39,8,1174.98
21,3,1421.29
63,4,2057.54
70,7,1899.74
17,3,89.78
10,9,738.48
27,5,956.03
74,5,809.71
8,4,1352.88
30,5,346.9
30,6,710.03
40,10,1217.83
5,3,327.3
38,3,416.21
72,2,928.83
6,7,928.41
9,6,2125.84
107,2,600.21
6,6,563.2
58,5,1400.21
21,2,513.76
9,3,1021.97
62,7,957.34
18,7,1225.21
22,4,1165.98
14,6,1179.64
27,7,904.92
6,2,1177.64
15,7,571.98
105,6,545.38
9,9,1524.91
33,8,1461.09
12,6,836.05
45,4,795.84
5,2,535.9
106,7,1883.65
19,4,127.47
9,2,1907.59
3,6,452.97
6,3,1009.29
23,7,789.31
13,3,893.58
53,5,1898.77
17,3,571.63
9,4,456.11
29,3,658.9
37,4,446.72
6,2,849.48
6,6,944.42
2,2,867.71
40,6,1937.87
33,5,478.08
20,5,3029.09
56,3,879.28
50,6,217.08
27,4,383.17
61,6,1119.2
7,3,1562.16
4,9,889.16
10,8,322.21
2,7,312.89
23,10,978.41
83,5,407.21
2,5,225.23
4,6,1066.04
19,10,513.59
82,3,720.8
12,2,485.43
22,4,1919.67
2,6,319.85
5,5,307.34
130,4,1382.9
101,5,101.7
1,2,2436.01
91,3,957.74
31,3,1291.79
61,6,766.03
19,4,300.95
22,11,1026.1
21,5,1656.89
33,5,358.38
5,5,654.18
1,5,405.41
12,5,1110.14
37,5,995.75
7,7,2222.66
34,2,436.85
106,6,1217.23
3,3,946.07
34,7,1259.73
18,7,435.97
61,3,172.42
6,6,664.2
36,5,722.35
55,3,2124.74
87,6,403.7
35,5,1071.29
21,5,233.91
29,5,513.27
61,5,368.47
26,5,968.33
1,4,702.34
81,4,813.28
36,5,401.52
34,4,158.62
8,5,457.22
33,3,1064.55
16,7,1168.99
32,4,840.99
4,4,1148.49
33,2,350.08
224,3,900.52
2,5,1349.35
114,4,256.68
16,7,481.66
62,5,534.98
46,4,355.2
26,2,229.13
41,6,1582.63
64,5,1041.44
16,4,658.54
12,4,418.68
34,4,235.77
50,5,442.43
44,6,1300.59
48,7,1812.1
18,7,1623.69
52,4,440.35
4,3,280.04
24,2,568.3
1,7,734.03
12,6,821.36
14,4,547.11
16,7,365.51
36,5,1562.52
15,4,968.08
18,7,637.73
9,2,466.43
15,4,411.86
8,4,1943.93
3,6,121.18
28,3,674.39
34,7,1646.78
29,8,831.57
19,5,1305.86
15,4,1228.28
60,5,1368.79
22,3,3347.15
20,7,1250.28
1,2,195.96
13,4,2249.97
15,4,1112.15
16,5,1255.62
27,6,290.26
23,3,655.17
29,10,1772.35
44,7,749.48
51,9,772.32
38,3,1593.27
94,12,136.75
1,10,224.91
7,5,247.09
1,6,740.91
32,6,651.77
69,12,905.55
9,5,199.98
79,3,621.6
2,7,495.49
82,5,1593.84
13,4,334.6
4,3,587.68
20,3,951.03
9,2,461.61
11,4,2315.45
12,3,1223.71
49,3,1030.85
24,8,963.07
12,6,497.68
29,6,117.66
38,7,815.94
10,3,728.16
17,8,441.96
4,4,1465.56
6,1,894.04
35,10,125.51
7,5,764.02
23,5,751.63
38,5,768.26
4,3,238.68
26,3,736.37
9,5,511.13
99,11,385.79
20,6,232.42
50,2,1357.12
24,5,2541.23
2,4,1881.46
31,8,354.85
91,5,1486.57
28,4,606.3
52,4,126.47
65,4,524.74
8,3,765.45
8,2,866.38
29,5,851.29
16,5,296.85
55,6,472.25
70,3,910.2
14,6,434.51
9,2,375.81
46,4,356.64
10,4,230.8
52,6,338.34
17,4,983.56
34,5,540.34
4,6,700.56
30,6,812.87
19,6,330.04
27,5,2541.64
6,4,493.32
41,6,598.86
60,7,408.88
8,9,2152.78
4,6,1961.03
1,3,119.2
31,1,329.88
29,4,524.45
24,4,1280.89
8,10,655.91
15,3,1367.74
28,6,1028.47
21,6,461.75
133,4,2056.73
5,2,125.65
36,5,2532.7
16,4,109.95
17,12,1022.36
38,4,950.92
36,5,328.62
143,3,757.01
5,3,713.15
4,6,1317.89
39,5,1848.94
26,4,592.59
10,5,820.18
3,5,715.31
3,6,335.18
68,3,966.52
7,8,2669.62
12,9,719.29
8,5,120.37
14,6,1090.12
3,2,578.13
22,8,1486.83
3,4,745.99
49,7,586.43
8,3,294.41
24,6,256.14
64,3,666.77
32,5,690.58
23,7,610.47
12,7,331.28
13,7,220.33
34,7,611.34
155,7,1582.56
33,4,869.07
25,5,1573.44
40,5,446.36
19,5,755.8
2,3,836.74
25,5,1848.02
95,5,1016.6
6,6,2261.99
36,7,1000.5
7,6,134.38
24,5,1031.42
4,8,1586.24
18,9,515.59
43,5,1083.56
13,9,862.69
33,7,673.05
48,10,517.73
79,9,418.92
9,2,894.79
16,4,478.31
5,8,1890.65
147,6,1589.4
79,2,150.33
24,9,443.51
56,3,546.0
23,7,186.11
30,2,664.59
3,3,1297.59
43,10,885.98
5,5,280.12
53,2,324.9
46,4,855.01
38,4,1003.26
2,3,793.22
11,3,809.0
10,6,1251.13
14,8,2283.44
3,7,794.06
83,5,785.11
25,8,150.61
11,10,296.16
16,4,1301.76
18,5,1001.86
28,3,538.85
22,3,1546.51
76,10,294.86
21,7,562.98
146,11,633.11
58,5,1479.32
8,6,638.73
81,4,1972.59
4,4,1087.3
52,4,493.9
15,5,839.72
64,4,385.66
61,1,479.28
50,6,883.05
47,5,445.51
11,7,396.3
3,6,1763.13
16,6,2272.08
6,8,896.13
